id,num,NAME,lat,lng
"473440","137780946",MC DONALD'S,39.954200,-83.097800
"473471","137783718",TEE JAYE'S COUNTRY PLACE,39.953500,-83.108500
"473486","137785077",YORK STEAK HOUSE,39.953400,-83.114300
"948558","205798549",KOKI'S TORTILLAS,39.943500,-83.078500
"2898196","402387813",LILY TERIYAKI,39.926000,-83.117400
"4303486","414395762",WING STREET,39.942600,-83.102400
"4855086","417531931",WESTGATE THAI,39.942900,-83.084200
"5343136","423274399",BAKER JAY'S INC,39.953400,-83.114300
"5615177","425328295",KHYBER MARKET & RESTAURANT,39.944200,-83.113000
"5794411","426068097",M & S PIZZA & CARRYOUT,39.940800,-83.111600
"5961883","427022147",LITTLE CAESARS PIZZA,39.930400,-83.089800
"6160787","427787970",PIZZA HUT,39.942600,-83.102400
"6199400","427937807",ROADHOUSE REVUE,39.946000,-83.111900
"6343367","433274013",JIMMY JOHN'S,39.926100,-83.117400
"6362432","433348937",SUPERTORTA LA,39.938300,-83.113300
"6985377","437406097",KABOB GRILL LLC,39.952700,-83.107000
"7395588","459097259",MARK PI'S FEAST OF THE DRAGON,39.955300,-83.098000
"7395940","459124426",PAPA JOHN'S PIZZA,39.942200,-83.097000
"7578566","476469754",MASSEYS PIZZA,39.943700,-83.077900
"7578904","476501614",CHUCK E CHEESE'S,39.954900,-83.097900
"7819484","498369230",REMALI'S PIZZA-JOHNNY'S,39.945000,-83.064400
"7820141","498428259",NUMBER ONE GYRO SHOPPE,39.953500,-83.096200
"7964341","514351279",KINGRO'S PIZZA,39.943900,-83.069900
"8259115","546442542",KFC,39.943200,-83.090200
"8929003","612054742",SUBWAY,39.927900,-83.116900
"9385376","649792116",WEST INTERNATIONAL CAFE,39.942000,-83.092100
"9794084","677099566",HASHI RESTAURANT,39.942300,-83.091500
"9871335","682614870",DRAGON PALACE,39.953400,-83.100300
"9952894","687146472",GERIBALDI RESTAURANT,39.944300,-83.112800
"10268198","700267053",DIRTY FRANKS HOT DOG PALA,39.955000,-83.076100
"10579652","705936594",SAPP RESTAURANT ENT INC,39.953200,-83.116600
"10622981","706169761",SUBWAY,39.944000,-83.073500
"10727931","706615683",GYRO KABOB,39.952700,-83.107000
"10913177","707679952",ZACATECA'S MEXICAN RESTAURANT,39.943000,-83.093000
"10927150","707741889",POPEYE'S LOUISIANA KITCHEN,39.953200,-83.116600
"11327138","712070754",JAY'S SPORTS LOUNGE,39.942000,-83.091900
"11328926","712083846",EL SABOR,39.937800,-83.111500
"12170264","851031237",RALLY'S HAMBURGERS,39.938500,-83.112200
"12170271","851033340",ASIAN WOK,39.943200,-83.091800
"12170272","851033621",GOLDEN CHOPSTICKS,39.952500,-83.111200
"12170302","851042051",BURGER KING,39.954100,-83.098700
"12170331","851049197",WHITE CASTLE,39.954300,-83.095300
"12500911","892221920",BOSTON MARKET,39.952900,-83.116200
"12851665","959898057",DON GINO'S PIZZA,39.934400,-83.089600
"473151","137756581",D & E-Z-O'S PIZZA,39.929800,-83.038500
"473178","137758165",BILL'S OTHER PLACE,39.942300,-83.038900
"473180","137758462",MC DONALD'S,39.945100,-83.036800
"473205","137760773",WENDY'S,39.928200,-83.054200
"1286620","234634145",KFC,39.929100,-83.052100
"2207733","386727671",WING STREET,39.931000,-83.050200
"2713827","401598587",KROGER DELI,39.932400,-83.050800
"2727628","401679636",LITTLE CAESARS PIZZA,39.943200,-83.038100
"3028542","402955316",CARRIE'S CAFE,39.946400,-83.016600
"3318288","403999218",IRIE JAMERICAN CUISINE,39.945700,-83.062500
"7128217","439291844",LIMITED COR R C O,39.929600,-83.039700
"7128219","439291846",R C O LTD,39.929600,-83.039700
"7395912","459122891",WONG'S GOLDEN WOK,39.932400,-83.050600
"7578859","476497102",SPORTZ N' SPIRITZ,39.932500,-83.049200
"7578865","476497557",CHINA KING OF COLUMBUS LLC,39.944900,-83.035400
"7819280","498336429",GRANDMA'S PIZZA & PASTA,39.936600,-83.043400
"7963801","514297092",BREAKFAST BARN,39.930200,-83.038400
"8011303","518997002",PIZZA HUT,39.931000,-83.050200
"8873447","607548666",ARI'S DINER,39.916900,-83.040200
"8928749","612028787",RED ROOSTER,39.955500,-83.059300
"10059256","692597099",LONG JOHN SILVER'S,39.929100,-83.052100
"10352233","701119943",BURGER KING,39.930100,-83.050200
"10623002","706169783",SUBWAY,39.916100,-83.035700
"11778435","719148926",VERN'S WESTLAND PUB,39.927400,-83.047000
"12169961","850963273",RALLY'S HAMBURGERS,39.946500,-83.034200
"12170278","851036830",MC DONALD'S,39.930400,-83.051500
"12170297","851041376",DONATOS PIZZA,39.932300,-83.050500
"12170307","851043323",TACO BELL,39.930800,-83.050700
"12170314","851045120",SUBWAY,39.932300,-83.050200
"2858998","402240539",PORT SIDE CAFE II & CATERING,39.826400,-83.001900
"471838","137613352",ARBY'S,39.884100,-83.000600
"471870","137616017",BOB EVANS RESTAURANT,39.883200,-83.000100
"471925","137620019",POSSUM HOLLER PIZZA,39.875200,-82.951600
"471943","137621496",STONEYS PIZZA & MARKET,39.890200,-82.968200
"471957","137622411",WENDY'S,39.889300,-82.998200
"904877","181036955",OHIO DELI & RESTAURANT INC,39.891600,-82.996300
"1058651","214903197",WHITE CASTLE,39.888400,-82.998600
"1084432","217095827",LOS CAMPEROS,39.887300,-82.998200
"1174557","224426783",BRICK PIZZA OVEN,39.891700,-82.986700
"1188689","225730456",CHINA CITY BUFFET,39.886600,-82.998400
"1245319","231198185",RICE KITCHEN,39.886400,-82.929900
"1245335","231200072",KFC,39.885800,-82.999700
"1657564","266243450",WAFFLE HOUSE,39.880800,-83.000900
"1778046","308078781",MC DONALD'S,39.888500,-82.997400
"1778047","308078807",LONG JOHN SILVER'S,39.883700,-83.000700
"2125378","378643795",SUBWAY,39.889300,-82.997700
"2713777","401598482",KROGER DELI,39.887500,-83.001600
"3077825","403087002",BOB EVANS RESTAURANT,39.885900,-82.996600
"3881176","408537327",RICE KITCHEN ASIAN CUISINE,39.886700,-82.930300
"4303320","414394630",INTERNET CAFE SWEEPSTAKES,39.883400,-83.003400
"4303494","414395777",LITTLE CAESARS PIZZA,39.890700,-82.997900
"7128284","439292075",NEW YORK PIZZA OVEN,39.891700,-82.986700
"7395495","459088712",WENDY'S,39.867800,-82.936000
"7395726","459106720",TACO BELL,39.888900,-82.998400
"7820100","498422708",DOMINO'S,39.892000,-82.967800
"8024480","520780040",ARBY'S,39.868600,-82.933700
"8077692","526409867",CARDO'S PIZZA,39.889900,-82.967500
"8165574","537249542",SKYLINE CHILI,39.885600,-82.998800
"8258697","546389933",JO JO PIZZA,39.855300,-82.970700
"8543171","576713465",EASTERN WOK,39.883400,-83.003400
"8543175","576713523",KFC,39.874900,-82.930800
"8928715","612026245",LOMBARDI'S PIZZA,39.832700,-83.000700
"9161109","630800704",PIZZUTI CO,39.855500,-82.947400
"9852734","681485553",SUBWAY,39.830600,-82.933000
"9852735","681485611",WING STREET,39.886400,-82.999500
"10059271","692597313",LONG JOHN SILVER'S,39.874900,-82.930800
"11311768","711994729",SOUTHSIDE GRILL & STONE,39.891700,-82.986700
"12172008","851338186",PIZZA HUT,39.886400,-82.999500
"12172027","851340943",PONDEROSA STEAKHOUSE,39.883200,-83.000800
"12172030","851341362",BOB'S AUTO AUCTION RESTAURANT,39.872300,-82.941900
"12499662","892108382",MC DONALD'S,39.868500,-82.935600
"12501091","892241670",TACO BELL,39.867200,-82.934200
"12886803","963680178",SUBWAY,39.877000,-82.930700
"12886814","963681424",DONATOS PIZZA,39.877600,-82.931600
"471850","137614194",BURGER KING,39.892800,-82.995500
"471864","137615316",DAN'S DRIVE IN,39.923600,-82.995700
"471918","137619649",PJ'S PIZZA,39.894700,-82.994700
"471933","137620779",SHADE'S RESTAURANT,39.911000,-82.995100
"1515913","254584501",HUNAN KING,39.923500,-82.963200
"4276663","413872608",LOIS MANN'S RESTAURANT,39.923000,-82.995000
"5911092","426720967",BABES,39.908700,-82.995700
"7395722","459106589",SUBWAY,39.893600,-82.995200
"7578605","476474622",RICE BOWL RESTAURANT,39.914800,-82.994600
"9881790","683024194",DAWGHOUSE PIZZA & BAR,39.923700,-82.965600
"12172007","851338152",DONATOS PIZZA,39.903800,-82.995700
"12708014","936226166",MC DONALD'S,39.914800,-82.966900
"471824","137611836",THURMAN CAFE INC,39.939500,-82.991100
"1245379","231207143",WHITE CASTLE,39.939200,-82.996700
"1515906","254583974",GERMAN VILLAGE COFFEE SHOP,39.939500,-82.990900
"2713766","401598468",KROGER DELI,39.934300,-82.985100
"4327482","414476983",EXPLORERS CLUB,39.929700,-82.995100
"8928995","612054338",HALL'S TAVERN,39.926300,-82.993400
"12500975","892228206",EASY STREET CAFE,39.939500,-82.990800
"12721608","938280849",TEE JAYE'S COUNTRY PLACE,39.934900,-82.984000
"471748","137605887",BECK TAVERN,39.950700,-82.990600
"471753","137606133",BROWN BAG DELI,39.944300,-82.992500
"471788","137609400",LINDEY'S RESTAURANTT,39.950700,-82.993700
"471792","137609699",MAX & ERMA'S RESTAURANT,39.947300,-82.995200
"471795","137609970",OLD MOHAWK,39.945700,-82.993000
"471809","137611000",SCHMIDT'S GERMAN VILLAGE,39.946300,-82.991100
"471821","137611729",TACO BELL,39.945800,-82.997100
"471827","137612248",WENDY'S,39.945700,-82.997900
"472597","137688487",CLUB 185,39.952500,-82.993600
"472660","137698577",HIGH BECK CORNER TAVERN,39.950600,-82.998200
"472793","137716734",TONY'S RESTAURANT,39.950400,-82.999000
"948859","205825425",VILLAGE CONEY,39.944400,-82.985700
"1056813","214770778",SUBWAY,39.940400,-82.996700
"1255197","232093054",SUBWAY,39.954900,-82.999000
"1515892","254582885",PISTACHIO,39.951300,-82.996000
"2128444","378833446",CORKY'S CAFE,39.951700,-83.000200
"2713818","401598563",KROGER DELI,39.948900,-83.001000
"3493982","404626003",HARVEST PIZZERIA,39.952500,-82.994600
"4303557","414395992",DOUBLE HAPPINESS,39.952000,-83.000200
"4814802","417242052",JIMMY V LLC,39.943500,-82.996800
"4816517","417262439",ICE HOUSE VENTURES,39.952400,-83.001500
"4883893","417758506",CLOAK & DAGGER DINNER THEATRE,39.942400,-82.996600
"5479290","424200818",MC CASKY'S GRILLE,39.951400,-83.000200
"5566714","425166101",DEMPSEY'S FOODS & SPIRITS,39.955000,-82.999000
"5708180","425717416",ZUM RATHSKELLER AT,39.942400,-82.996600
"5909092","426701918",ROOSTERS,39.943900,-82.995500
"6029319","427266723",FREZNO BAR & GRILL,39.952200,-82.999800
"6154329","427768715",KOLACHE REPUBLIC,39.947200,-82.997500
"6259665","428127057",SYCAMORE,39.949100,-82.990900
"6434266","433571245",BACKSTAGE BISTRO,39.951500,-83.000600
"6629947","434226319",WESTIES GASTRO PUB,39.942800,-82.998400
"6773995","435427409",IVORY ROOM,39.954400,-83.005300
"6922488","436828384",OLDE VELAGE DINER,39.946400,-82.996300
"6949616","437106679",KITCHEN 231,39.952500,-82.992300
"7128791","439294320",BASIL THAI,39.952200,-82.999800
"7395778","459111159",HAPPY DRAGON,39.952400,-82.991000
"8010967","518955026",CLUB DIVERSITY,39.944400,-82.997500
"8258812","546403783",CHIPOTLE MEXICAN GRILL,39.952000,-82.998200
